Texts,content,corpus
" Got this phone for 49k in BBD sale which was a steal at that price. Good cameras, good battery life and great performance. The software has been buggy after iOS 16 release. That is the only con according to me.",human,got phone k bbd sale steal price good camera good batteri life great perform softwar buggi io releas con accord
"AI can help us improve the quality and safety of our food supply, from production to distribution.",bot,ai help us improv qualiti safeti food suppli product distribut
"The impact of automation on the service industry and job market is a growing area of interest and innovation, with potential implications for efficiency and job satisfaction.",bot,impact autom servic industri job market grow area interest innov potenti implic effici job satisfact
"The use of blockchain technology in supply chain management presents opportunities for transparency and efficiency, but also raises concerns about privacy and regulation.",bot,use blockchain technolog suppli chain manag present opportun transpar effici also rais concern privaci regul
 Phone experience good,human,phone experi good
" Genuine product received from Flipkart. However, couldn't get at the price promised under the Big Billion Day sale.",human,genuin product receiv flipkart howev get price promis big billion day sale
 The best phone ever,human,best phone ever
 Superior ????,human,superior
 Superb quality... product performance is brilliant??,human,superb qualiti product perform brilliant
 Just love it ???,human,love
 Nice phone but battery ?? backup is not good.,human,nice phone batteri backup good
 Awesome camara….best for BGMI,human,awesom camara best bgmi
"The impact of plastic waste on the environment and marine life is a pressing issue, with potential implications for ecological damage and public health.",bot,impact plastic wast environ marin life press issu potenti implic ecolog damag public health
"Remember that success is not just about achieving your own goals, it's also about helping others achieve theirs.",bot,rememb success achiev goal also help other achiev
"The impact of aging populations on the workforce and retirement systems is a pressing issue, with potential implications for economic growth and social support.",bot,impact age popul workforc retir system press issu potenti implic econom growth social support
 Very good phone in the price range of 60k.camera quality is just osm. Performance is also very good . Just for this apple device.,human,good phone price rang k camera qualiti osm perform also good appl devic
 thanks flipkart my new i phone 13 with only 50000 thanks a lot,human,thank flipkart new phone thank lot
"Additionally, it is important for individuals to become more educated about AI and its potential impact on society, and to be involved in discussions about its development and regulation.",bot,addit import individu becom educ ai potenti impact societi involv discuss develop regul
"The use of renewable energy sources such as biomass and hydropower can provide alternative energy sources for rural communities and reduce reliance on fossil fuels, but also requires careful consideration of environmental and social impacts.",bot,use renew energi sourc biomass hydropow provid altern energi sourc rural commun reduc relianc fossil fuel also requir care consider environment social impact
 My 1st IPhone…Nothing to say just love it,human,st iphon noth say love
" Low light cemra performance is very awasome, 4k stability also",human,low light cemra perform awasom k stabil also
"The use of telemedicine and digital health technologies can improve access to healthcare services and reduce costs, but also raises concerns about data privacy and the quality of care.",bot,use telemedicin digit health technolog improv access healthcar servic reduc cost also rais concern data privaci qualiti care
 I observed sound issue,human,observ sound issu
 Great,human,great
"The smell of coffee filled the air, waking him up and energizing him for the day.",bot,smell coffe fill air wake energ day
The computer vision system was able to accurately identify objects in low-light conditions with an accuracy of 95%.,bot,comput vision system abl accur identifi object low light condit accuraci
"The impact of gender inequality on development and human rights is a pressing issue, with ongoing efforts to promote gender equity and empowerment.",bot,impact gender inequ develop human right press issu ongo effort promot gender equiti empower
 Iam the android user and switched to IOS and loving it now having iPhone 13????,human,iam android user switch io love iphon
 Must recommend this is a very good product I'll buy in BBD sale with a very best of the best offer,human,must recommend good product buy bbd sale best best offer
 Superb camera quality If apple would provide the adapter it would be much better ??,human,superb camera qualiti appl would provid adapt would much better
" In terms of camera , performance and design its unbeatable, battery backup is average for heavy user, overall best phone under this price range. ??",human,term camera perform design unbeat batteri backup averag heavi user overal best phone price rang
 Camera is over hyped. It's bad,human,camera hype bad
 Very nice,human,nice
 Too good,human,good
"The stars twinkled in the sky like diamonds, reminding everyone that there is a vast and beautiful universe beyond our own world.",bot,star twinkl sky like diamond remind everyon vast beauti univers beyond world
"The impact of digital technology on democratic processes and governance is a constantly evolving issue, with ongoing debates about the impact of technology on political participation and representation.",bot,impact digit technolog democrat process govern constantli evolv issu ongo debat impact technolog polit particip represent
 Amazing,human,amaz
 Wow experience when I take I phone 13 into handsGreat call quality??Good soundBest battery backupGreat cameraUsing Android from 10 years shifting to iPhone is trickyFor me I require the below specs butCan't use call recording ??Can't use dual apps,human,wow experi take phone handsgreat call qualiti good soundbest batteri backupgreat cameraus android year shift iphon trickyfor requir spec butcan use call record use dual app
 Satisfying product,human,satisfi product
 Good experience using since 12 days its awesome to shift from Android to ios??????,human,good experi use sinc day awesom shift android io
 Awesome phone. Was tired of using bigger display android phones. Got it for 48k in BBD sale. Switched from android to ios. Used android for almost 12 yrs and was confused to switch to ios but now ios is awesome and equally user friendly. Ios is rather fluid and faster.,human,awesom phone tire use bigger display android phone got k bbd sale switch android io use android almost yr confus switch io io awesom equal user friendli io rather fluid faster
 You wont carry Dslr if you have an Iphone with you.,human,wont carri dslr iphon
" It could be better optimized in terrms of battery, camera and over all performance for the prices aplle is charging. Looting public in the fame of company name and good wheel",human,could better optim terrm batteri camera perform price apll charg loot public fame compani name good wheel
"The rain came down in sheets, drenching everything in its path and creating a symphony of sound on the rooftops and pavement.",bot,rain came sheet drench everyth path creat symphoni sound rooftop pavement
 Design is superb,human,design superb
 Everything is good about the phone but unboxing experience is spoiled. ????,human,everyth good phone unbox experi spoil
 Very good performance,human,good perform
"The study of economics seeks to understand the allocation of resources and the distribution of wealth and income, with applications in fields such as finance, policy, and development.",bot,studi econom seek understand alloc resourc distribut wealth incom applic field financ polici develop
The deep learning model was able to accurately predict the stock prices of a company with an accuracy of 90%.,bot,deep learn model abl accur predict stock price compani accuraci
"The impact of automation on employment and the workforce is a growing area of concern, with potential implications for job displacement and income inequality.",bot,impact autom employ workforc grow area concern potenti implic job displac incom inequ
It's important to take care of your physical and mental health if you want to achieve success in all areas of your life.,bot,import take care physic mental health want achiev success area life
 Very bad,human,bad
"AI can help us improve the accuracy and efficiency of tax and accounting processes, reducing errors and improving compliance.",bot,ai help us improv accuraci effici tax account process reduc error improv complianc
 Go for this instead of i phone 14.,human,go instead phone
 Excellent,human,excel
This raises questions about accountability and responsibility in the event of AI-generated errors or biases.,bot,rais question account respons event ai gener error bias
 Cemera quality is not good in this phn Everyone say camera is good in iPhone but reality is different,human,cemera qualiti good phn everyon say camera good iphon realiti differ
"The impact of digital technology on education and learning is a complex issue, with potential implications for personalized instruction, assessment, and equity.",bot,impact digit technolog educ learn complex issu potenti implic person instruct assess equiti
"The use of artificial intelligence in transportation and logistics presents opportunities for efficient and optimized systems, but also raises concerns about privacy and safety.",bot,use artifici intellig transport logist present opportun effici optim system also rais concern privaci safeti
"The use of renewable energy sources such as hydrogen and biofuels presents opportunities for sustainable and clean energy, but also requires careful consideration of economic and environmental factors.",bot,use renew energi sourc hydrogen biofuel present opportun sustain clean energi also requir care consider econom environment factor
"The impact of urbanization on public health and wellbeing is a growing area of concern, with potential implications for air and water quality, access to healthcare, and community development.",bot,impact urban public health wellb grow area concern potenti implic air water qualiti access healthcar commun develop
 There is no doubt on apple product. Battery performance has improved a lot.4 star rating is for flipkart for delivering original and new product.,human,doubt appl product batteri perform improv lot star rate flipkart deliv origin new product
"The impact of automation on the healthcare industry and patient care is a growing area of interest and innovation, with potential implications for efficiency and quality of care.",bot,impact autom healthcar industri patient care grow area interest innov potenti implic effici qualiti care
" After using of two week , I just love this phone , after shifting from android to iOS i feel so difficult form and boring for 5-6 days then updating to iOS 16 its too cool. from day one when when you use display camera may be a thought come in your mind omg I am spending that much of money for it but honestly when you use day bye day uhh definitely fall love with it .Battery backup was fantastic. And smart optimisation was fabulous.Display was mind blowing with it natural colour. And about...",human,use two week love phone shift android io feel difficult form bore day updat io cool day one use display camera may thought come mind omg spend much money honestli use day bye day uhh definit fall love batteri backup fantast smart optimis fabul display mind blow natur colour
"AI can help us better understand and predict the behavior of complex systems, from ecosystems to economic systems.",bot,ai help us better understand predict behavior complex system ecosystem econom system
" Upgraded from 7 plus to 13,It has vibrant display clarity Battery tooooo good,Video smoothness and picture quality Everything is good, price worthy??????",human,upgrad plu vibrant display clariti batteri tooooo good video smooth pictur qualiti everyth good price worthi
"AI can help us better understand and address the impact of automation on jobs, from predicting the effects of AI on employment to developing retraining programs.",bot,ai help us better understand address impact autom job predict effect ai employ develop retrain program
"AI can help us better understand and predict the spread of infectious diseases, improving our ability to respond to outbreaks and pandemics.",bot,ai help us better understand predict spread infecti diseas improv abil respond outbreak pandem
"The use of renewable energy sources, such as wind and solar power, is an increasingly important strategy for reducing carbon emissions and mitigating the impacts of climate change.",bot,use renew energi sourc wind solar power increasingli import strategi reduc carbon emiss mitig impact climat chang
"The gig economy has emerged as a new model of work, with flexible arrangements and digital platforms enabling workers to find freelance work and clients to access talent on-demand.",bot,gig economi emerg new model work flexibl arrang digit platform enabl worker find freelanc work client access talent demand
 Nice phone.. camara is good in daylight. Night time camara performance is ok,human,nice phone camara good daylight night time camara perform ok
 Good camera,human,good camera
" Worst OS ever used in my Life Fake Camera lol ois in camera picture quality is poor compare to android flagship, i will sold after one year. ? made fools",human,worst os ever use life fake camera lol oi camera pictur qualiti poor compar android flagship sold one year made fool
"AI can help us improve the accuracy and efficiency of personalized advertising, improving the relevance and effectiveness of marketing campaigns.",bot,ai help us improv accuraci effici person advertis improv relev effect market campaign
 Over heating during charging,human,heat charg
 Very nice phone superb performance Camera is superb,human,nice phone superb perform camera superb
"The field of ecology seeks to understand the relationships between organisms and their environment, with a focus on biodiversity, ecosystem dynamics, and conservation.",bot,field ecolog seek understand relationship organ environ focu biodivers ecosystem dynam conserv
 Loving it!,human,love
"The impact of renewable energy sources on energy costs and affordability is a pressing issue, with potential implications for economic growth and social welfare.",bot,impact renew energi sourc energi cost afford press issu potenti implic econom growth social welfar
 Dont know what's going on... suddenly display is not working... pathetic situation,human,dont know go suddenli display work pathet situat
"AI can help us detect and prevent cyberattacks, improving the security of our digital infrastructure.",bot,ai help us detect prevent cyberattack improv secur digit infrastructur
 Switched to iphone after losing my kidney ?? ?? Amazing phone,human,switch iphon lose kidney amaz phone
"The field of environmental science seeks to understand the interactions between humans and the natural environment, with a focus on sustainability, conservation, and climate change.",bot,field environment scienc seek understand interact human natur environ focu sustain conserv climat chang
"AI can help us detect and prevent fraud, reducing financial losses and protecting consumers.",bot,ai help us detect prevent fraud reduc financi loss protect consum
"The sound of the thunder was deafening, but also strangely comforting.",bot,sound thunder deafen also strang comfort
 Nice Phone And battery Back-up Is Also Very Good Camara Is Superb..,human,nice phone batteri back also good camara superb
"The use of nanotechnology and nanomaterials offers new possibilities for biomedical and environmental applications, but also raises questions about safety and potential environmental impacts.",bot,use nanotechnolog nanomateri offer new possibl biomed environment applic also rais question safeti potenti environment impact
" Amazing mobile of course, but fast delivery done by Flipkart. Ordered on 24Dec 1AM and received it 25 Dec 11 AM. Thank you Flipkart. Genuine product ????",human,amaz mobil cours fast deliveri done flipkart order dec receiv dec thank flipkart genuin product
 Nice product but overpriced.,human,nice product overpr
" Phone is good. But within a week of use with proper protection cover, I saw paint of silent button chipped off. Its very bad thing to see in apple iphone. May be make in India quality is not upto the mark as compared to US or China make.",human,phone good within week use proper protect cover saw paint silent button chip bad thing see appl iphon may make india qualiti upto mark compar us china make
 Good decision for 13 super camera,human,good decis super camera
"The use of autonomous drones for delivery and logistics presents opportunities for increased efficiency and reduced carbon emissions, but also raises concerns about the impact on employment and the need for new regulations and infrastructure.",bot,use autonom drone deliveri logist present opportun increas effici reduc carbon emiss also rais concern impact employ need new regul infrastructur
" I gifted this to my best, and she is so so happy ??",human,gift best happi
"The impact of aging populations on the workforce and retirement systems is a pressing issue, with potential implications for economic growth and social support.",bot,impact age popul workforc retir system press issu potenti implic econom growth social support
 Best mobile,human,best mobil
 Nice phone,human,nice phone
" Amazing camera quality, superb battery backup Overall value for money product.",human,amaz camera qualiti superb batteri backup overal valu money product
"The use of biotechnology in agriculture and medicine is transforming the way we produce food and treat diseases, with a focus on genetic engineering and bioinformatics.",bot,use biotechnolog agricultur medicin transform way produc food treat diseas focu genet engin bioinformat
 The phone is ultimate,human,phone ultim
 Camera quality is awesome,human,camera qualiti awesom
"The impact of artificial intelligence on creativity and the arts is a growing area of interest and debate, with some arguing that AI can enhance human creativity, while others worry about the potential for automation and homogenization.",bot,impact artifici intellig creativ art grow area interest debat argu ai enhanc human creativ other worri potenti autom homogen
 Nice ?? one go for it,human,nice one go
 Good performance and camera ????????,human,good perform camera
" No words to describe, all i can say it is just awesome ??Feeling amazing, loved the starlight colour, it's always royal colour.Overall perfect brand #iphone13???",human,word describ say awesom feel amaz love starlight colour alway royal colour overal perfect brand iphon
"The field of political science seeks to understand how power, governance, and public policy operate in different societies and contexts, with a focus on democracy, justice, and human rights.",bot,field polit scienc seek understand power govern public polici oper differ societi context focu democraci justic human right
"The impact of digital technology on education and learning is a constantly evolving issue, with ongoing debates about the role of technology in the classroom and accessibility.",bot,impact digit technolog educ learn constantli evolv issu ongo debat role technolog classroom access
" Reality is reality. Everything is working smooth, jist go for it without any hesitation. You won't be regret once you buy it.",human,realiti realiti everyth work smooth jist go without hesit regret buy
 My first Apple device switched from Redmi Note 7pro. Initially it looked too small skin but after using some days im very used to it and enjoyed it. CONS: Battery is the most drawback of this phone that I felt.I expected more than its battery actually delivers .drains a bit fast. Waiting for any update that can fix itSecondly selfie camera is weak during low light conditions i feel Samsung or realme has better selfie cam that thisThirdly 6.1inch screen is a bit smaller should be option for...,human,first appl devic switch redmi note pro initi look small skin use day im use enjoy con batteri drawback phone felt expect batteri actual deliv drain bit fast wait updat fix itsecondli selfi camera weak low light condit feel samsung realm better selfi cam thisthirdli inch screen bit smaller option
" It is a good iPhone. If you want an apple experience go for it otherwise a 30K Android phone is miles better with features. What features do you ask? Starts with day to day applications to OLED displays that refreshes at 144HZ. Though apple makes the smoothest 60hz displays, I wish it was at least 90hz this one.",human,good iphon want appl experi go otherwis k android phone mile better featur featur ask start day day applic ole display refresh hz though appl make smoothest hz display wish least hz one
"AI can help us better understand and address the impact of social isolation on mental health, from identifying risk factors to developing interventions to promote social connection.",bot,ai help us better understand address impact social isol mental health identifi risk factor develop intervent promot social connect
"The use of augmented reality in marketing and advertising is transforming the way we engage with products and services, with a focus on immersive and interactive experiences.",bot,use augment realiti market advertis transform way engag product servic focu immers interact experi
 Good camera,human,good camera
"Cyberbullying is a growing problem, particularly among young people, and requires concerted efforts from parents, educators, and policymakers to prevent and address.",bot,cyberbulli grow problem particularli among young peopl requir concert effort parent educ policymak prevent address
"The use of biotechnology in medicine and pharmaceuticals presents opportunities for breakthroughs and innovation, but also raises concerns about safety and ethical implications.",bot,use biotechnolog medicin pharmaceut present opportun breakthrough innov also rais concern safeti ethic implic
" This is my first Apple product and it's the best decision to switch from Android to ios, the camera is decent, and also the phone is compact performance and the battery is also good.",human,first appl product best decis switch android io camera decent also phone compact perform batteri also good
 Superb camera.nice performance,human,superb camera nice perform
 Good product good camera quality and best mobile,human,good product good camera qualiti best mobil
" Such an amazing device ??I bought the phone during dussera at 56000 (128GB). This is my opinion after 7months of use. Pros: Very decent camera, top of the notch performance, user friendly design, 6-7 hours of screen on time, monthly OS upgrades, good signal reception, quality displayCons: No charger in the box and very slow charging speeds. It takes more than 1 hr to charge from 20 to 90%. Verdict: If you are looking for a compact allrounder mobile and are into the apple ecosystem, ipho...",human,amaz devic bought phone dussera gb opinion month use pro decent camera top notch perform user friendli design hour screen time monthli os upgrad good signal recept qualiti displaycon charger box slow charg speed take hr charg verdict look compact allround mobil appl ecosystem ipho
"The use of blockchain technology in finance and other industries is transforming the way we record and verify transactions, with a focus on decentralization, security, and transparency.",bot,use blockchain technolog financ industri transform way record verifi transact focu decentr secur transpar
"The stars shone brightly in the clear night sky, illuminating the path ahead as the group made their way through the forest.",bot,star shone brightli clear night sky illumin path ahead group made way forest
"The impact of digital technology on democracy and political systems is a complex issue, with ongoing debates about the role of technology in information dissemination and civic engagement.",bot,impact digit technolog democraci polit system complex issu ongo debat role technolog inform dissemin civic engag
 I like this product,human,like product
 Most value for money iphone ….. awesome,human,valu money iphon awesom
"The use of artificial intelligence in scientific research and discovery presents opportunities for breakthroughs and innovation, but also raises concerns about data privacy and ethical implications.",bot,use artifici intellig scientif research discoveri present opportun breakthrough innov also rais concern data privaci ethic implic
 Writimg a review after 04 days of use...awesome phone in terms camera..design..fetures..battery backup..superb.. ..Thanks to flipkart. .Delivery Before one day of  sheduled time.??,human,writimg review day use awesom phone term camera design fetur batteri backup superb thank flipkart deliveri one day shedul time
"Overall, while AI may lead to job displacement in some industries, it will also create new job opportunities and enhance economic growth. The key is to ensure that workers are equipped with the necessary skills to adapt to these changes and take advantage",bot,overal ai may lead job displac industri also creat new job opportun enhanc econom growth key ensur worker equip necessari skill adapt chang take advantag
 Satisfied with product,human,satisfi product
"AI can help us develop new drugs and therapies, improving our ability to treat and cure diseases.",bot,ai help us develop new drug therapi improv abil treat cure diseas
"When you're feeling overwhelmed, take a break and do something that brings you joy and relaxation.",bot,feel overwhelm take break someth bring joy relax
 So far amazing experience with iphone 13 camera battery display n the performance is very cool..just the storage is not enough it fills very fast.. iCloud storage u have to buy or delete the backups contents... display quality is good bt the size is not enjoyable i hav samsung f62 n watching content videos u ll hav more fun in bigger display thats the only con i found rest is very good??,human,far amaz experi iphon camera batteri display n perform cool storag enough fill fast icloud storag u buy delet backup content display qualiti good bt size enjoy hav samsung f n watch content video u hav fun bigger display that con found rest good
 One of the best phone i have ever used.Pro tip: go for starlight color blindly you will never regret,human,one best phone ever use pro tip go starlight color blindli never regret
"When you're feeling overwhelmed, break your goals down into smaller, more manageable tasks.",bot,feel overwhelm break goal smaller manag task
"AI can help us monitor and maintain critical infrastructure, from bridges to power grids, reducing the risk of failures and disasters.",bot,ai help us monitor maintain critic infrastructur bridg power grid reduc risk failur disast
 Loved it,human,love
" So, after using my IPhone for almost 3 weeks, My experience is amazing and as I expected. You should go for this.",human,use iphon almost week experi amaz expect go
"The impact of renewable energy sources on global energy demand is a pressing issue, with potential implications for environmental sustainability and social welfare.",bot,impact renew energi sourc global energi demand press issu potenti implic environment sustain social welfar
